agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_network
hkir_V-14492,hkir_V-14492-H-3-78,78,Autóbusz-állomás - Szenna - Uraj - Susa - Szenna - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-14492,hkir_V-14492-H-3-8,8,Kórház - Autóbusz-állomás - Uraj - Susa,3,,152B32,FFFFFF,local
hkir_V-14632,hkir_V-14632-H-3-1,1,"Vasútállomás - Turul u. - Bélatelep, forduló",3,,152B32,FFFFFF,local
hkir_V-14632,hkir_V-14632-H-3-2,2,Vasútállomás - Kenyérgyár - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-10,10,Szedreskert - Orsovai utca,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-11,11,Szedreskert - Vásárhelyi úti ltp.,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-11A,11A,11A Csapó utca-Vásárhelyi út-Sóstói bev.,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-12,12,Szedreskert - Sóstó - Sóstó Ipari Park,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-12A,12A,12A Csapó u. - Autóbusz-állomás - Börgöndi út - rhalmi szlk - Auchan,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-12Y,12Y,12Y Autóbusz-állomás - Bárándi utcam,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-13G,13G,13G Autóbusz-állomás - Babér utca,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-14,14,Szedreskert - Köfém lakótelep,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-14G,14G,14G Autóbusz-állomás - Köfém lakótelep (gyorsjárat),3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-15,15,Csapó utca - Sóstó - Sóstó Ipari Park,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-15Y,15Y,15Y Csapó u.- Szárcsa u. - Sóstói u.,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-16,16,Feketehegy - Szedreskert - AIZ,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-17,17,Csapó utca - Köfém lakótelep,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-20,20,Jancsár u.-Köfém ltp.,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-22,22,Jancsár u. - Budai út - Kisfalud,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-23,23,Jancsár u. - Vá. - Budai út - Európa IP.,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-23E,23E,23E Jancsár u.-Budai út-Fiskális út-Videoton,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-24,24,Jancsár utca - Zsolnai út,3,,152B32,FFFFFF,local
hkir_V-14827,hkir_V-14827-H-3-25,25,Jancsár utca - Püspökkertváros,3,,152B32,FFFFFF,local
